long,lat,tipo_de_establecimiento,nombre,descripcion,edades,direccion,direccion_normalizada,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.5144842190285,-34.5931101709672,JUEGOTECA,ALBORADA,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,JOAQUIN V. GONZALEZ 4753,"GONZALEZ, JOAQUIN V. 4753",VILLA DEVOTO,COMUNA 11,1419,C1419AYG
-58.365417273336,-34.6269877349554,JUEGOTECA,CATALINAS,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,PI Y MARGALL 671,PI Y MARGALL 671,BOCA,COMUNA 04,1155,C1155AHA
-58.358068966883,-34.642558849902,JUEGOTECA,LA BOCA,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,PEDRO DE MENDOZA Y CALIFORNIA,DON PEDRO DE MENDOZA AV. Y CALIFORNIA,BOCA,COMUNA 04,,
-58.3782941101778,-34.6358608739225,JUEGOTECA,BARRACAS (TM - TT),"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,HERRERA 594,HERRERA 594,BARRACAS,COMUNA 04,1295,C1295ABJ
-58.419567648214,-34.6306686258348,JUEGOTECA,BOEDO,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,PAVON 3918,PAVON AV. 3918,BOEDO,COMUNA 05,1253,C1253AAX
-58.4547586962208,-34.6242234864005,JUEGOTECA,CABALLITO,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,DONATO ALVAREZ 130,"ALVAREZ, DONATO, TTE. GRAL. 130",FLORES,COMUNA 07,1406,C1406BNO
-58.4941944983056,-34.6686656744403,JUEGOTECA,LA VOLUNTAD DEL CIELO,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,EVA PERON 6600,"PERON, EVA AV. 6600",VILLA LUGANO,COMUNA 08,1439,C1439BTQ
-58.5251670770919,-34.6493224373943,JUEGOTECA,LINIERS,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,FELIX ORIGONE 946,"ORIGONE, MANUEL FELIX, TTE 946",LINIERS,COMUNA 09,1408,C1408FXF
-58.4784195649789,-34.6183344569542,JUEGOTECA,SANTA RITA,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,TRES ARROYOS 3037,TRES ARROYOS 3037,VILLA SANTA RITA,COMUNA 11,1416,C1416DDY
-58.4376384471781,-34.5550753875316,CENTRO LUDICO,CENTRO LUDICO,"ESPACIO DESTINADO A LA CAPACITACION, INNOVACION E INVESTIGACION EN PRACTICAS LUDICAS. SE REALIZAN CAPACITACIONES A ADULTOS QUE REALIZAN SU PRACTICA COTIDIANA CON NIÑAS Y NIÑOS. SE DESARROLLAN LOS RECURSOS LUDICOS Y PROYECTOS PARA LAS JUEGOTECAS. TAMBIEN SE REALIZA INVESTIGACION SOBRE PRACTICAS LUDICAS E INFANCIA.",,LA PAMPA 750,LA PAMPA 750,BELGRANO,COMUNA 13,1428,C1428DYP
-58.4046554326971,-34.5979471072724,JUEGOTECA,CRECIENDO,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,CORDOBA 2655/57,CORDOBA AV. 2655,RECOLETA,COMUNA 02,1187,C1187AAA
-58.3946190694393,-34.6611043219016,JUEGOTECA,AMOR Y PAZ,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,"LUNA Y ORMA, VILLA 21/24 BARRIO TRES ROSAS",LUNA Y ORMA,BARRACAS,COMUNA 04,,
-58.3949132439951,-34.6579552969035,JUEGOTECA,EL ALFARERO,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,"LUNA 1955, VILLA 21",LUNA 1955,BARRACAS,COMUNA 04,1437,C1437FFQ
-58.4875289842317,-34.5504180015597,JUEGOTECA,JACARANDA BARRIO MITRE,"CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑAS Y ADOLESCENTES DESDE EL ABORDAJE DE LA ACTIVIDAD LUDICA CREATIVA, EN EL MARCO DE UN ESPACIO SIGNIFICATIVO PARA ELLOS Y LA COMUNIDAD, GESTIONANDO EN CONJUNTO CON ORGANIZACIONES SOCIALES E INSTITUCIONES COMUNITARIAS.",MIXTO DE 3 A 13 AÑOS,"CORREA 3930, BARRIO MITRE",CORREA 3930,SAAVEDRA,COMUNA 12,1430,C1430CLN
