,Barrio,id
0,PALERMO,0
1,BELGRANO,1
2,NUÃ‘EZ,2
3,VILLA ORTUZAR,3
4,BALVANERA,4
5,SAN CRISTOBAL,5
6,VILLA CRESPO,6
7,VILLA GENERAL MITRE,7
8,FLORESTA,8
9,PARQUE CHACABUCO,9
10,PARQUE AVELLANEDA,10
11,CABALLITO,11
12,ALMAGRO,12
13,POMPEYA,13
14,VILLA URQUIZA,14
15,SAAVEDRA,15
16,VILLA PUEYRREDON,16
17,VILLA LURO,17
18,MATADEROS,18
19,FLORES,19
20,VERSAILLES,20
21,LINIERS,21
22,VELEZ SARFIELD,22
23,VILLA DEVOTO,23
24,BOCA,24
25,AGRONOMIA,25
26,CHACARITA,26
27,PATERNAL,27
28,COLEGIALES,28
29,VILLA DEL PARQUE,29
30,VILLA LUGANO,30
31,VILLA SANTA RITA,31
32,BARRACAS,32
33,MONTE CASTRO,33
34,VILLA RIACHUELO,34
35,RETIRO,35
36,MONTSERRAT,36
37,VILLA SOLDATI,37
38,CONSTITUCION,38
39,BOEDO,39
40,PARQUE PATRICIOS,40
41,SAN TELMO,41
42,COGHLAN,42
43,SAN NICOLAS,43
44,RECOLETA,44
45,VILLA REAL,45
46,NUEVA POMPEYA,46
47,PARQUE CHAS,47
48,PUERTO MADERO,48
