,barrio_,price_aprox_local_currency_min,price_aprox_local_currency_max,price_aprox_local_currency_mean,price_aprox_local_currency_std,price_aprox_usd_min,price_aprox_usd_max,price_aprox_usd_mean,price_aprox_usd_std,created_on_count
0,AGRONOMIA,176453.2,11388300.0,2985231.305174603,2095644.4644322144,11050.08,580000.0,173827.432,116074.8407759498,315
1,ALMAGRO,87911.86,183121875.0,2669250.7000551317,3918001.751478235,5480.45,10625000.0,156940.0088637259,226163.81123675266,5078
2,BALVANERA,101373.93,86372500.0,2711735.6286386577,3312287.2693962306,5162.92,5000000.0,159420.88330137703,192227.0022700058,5737
3,BARRACAS,85275.81,251073000.0,3902663.4919956266,9956493.137056133,4977.43,13500000.0,231673.84801893667,580963.1206505597,1373
4,BELGRANO,92550.18,107992500.0,6114208.879125268,7887622.985101158,5256.89,5500000.0,357303.31822493224,456902.32940376626,6642
5,BOCA,130761.41,148784000.0,2657143.153093527,5875985.865048148,8188.71,8000000.0,156413.5635571542,330298.28263492347,1251
6,BOEDO,48838.12,108729516.5,2241816.647231016,4155079.8160757236,2827.18,6809000.0,133624.17070147683,251717.5184370938,1896
7,CABALLITO,104660.04,70261400.0,3239861.9969260446,2557804.1504728454,6108.86,4400000.0,187857.20088263665,147464.2188462839,6220
8,CHACARITA,80231.17,79842500.0,3110169.9923088024,3601047.47717597,5024.34,5000000.0,182772.3990909091,212473.44117429797,1386
9,COGHLAN,558897.5,22272250.0,3342935.0721535594,2389320.440123549,34754.85,1300000.0,196210.6543726592,137417.84298497086,1068
10,COLEGIALES,102999.85,75703650.0,4232362.916438124,3729059.4108976508,6450.19,4300000.0,247154.3448327759,213023.6479255165,1794
11,CONSTITUCION,96843.1,68530000.0,2326868.8300000024,4025140.198443782,5500.73,4000000.0,136206.7318612192,236583.9582832381,1542
12,FLORES,95811.0,218166664.5,2903445.748668962,4134292.6913521434,5043.3,11111111.0,169693.6241586207,222027.0506141267,4350
13,FLORESTA,87509.61,44111250.0,2498946.263637994,2441216.131375178,5480.14,2500000.0,147355.79350358425,143947.29237458596,1116
14,LINIERS,85012.3,17966025.0,2590758.676528354,1829732.2865086254,5045.54,915000.0,151844.52751037342,104022.25493610073,1446
15,MATADEROS,331181.75,190361109.2,2949903.5367573695,5722881.962871648,19060.82,11111111.0,174696.00337112622,334065.44179714745,1323
16,MONSERRAT,89976.49,123354000.0,2972668.6797925956,4469928.377017525,5103.61,7200000.0,174033.99047173647,257812.55511646045,2459
17,MONTE CASTRO,260411.53,14964675.0,2697451.1272236854,2104605.2842398128,15074.91,850000.0,157481.60138157898,119908.1912384302,760
18,NUEVA POMPEYA,88716.67,26466750.0,2539539.3556919056,3281050.380396121,5555.73,1500000.0,148465.79381201044,188581.6619392685,383
19,NUÃ‘EZ,77468.62,206644442.4,4963615.374910803,7445222.774525221,4851.34,11111111.0,290027.68355296686,422641.02360755607,2747
20,PALERMO,85497.9,270456790.5,6432754.1361179305,8941423.153536664,5354.16,15692300.0,377037.7808850184,519728.98005601997,14124
21,PARQUE AVELLANEDA,239527.5,23562000.0,2828805.659650655,2390320.0265271137,15000.0,1200000.0,165691.6822125182,135518.20606232886,687
22,PARQUE CHACABUCO,91603.53,23562000.0,2880003.2754829545,1973215.9336715385,5191.62,1200000.0,168100.86237926132,113149.40110302114,1408
23,PARQUE CHAS,319370.0,14247500.0,2473847.3237162167,1601593.9476543122,20000.0,820000.0,144994.77658783784,91602.77605721776,592
24,PARQUE PATRICIOS,113701.2,47124000.0,2830775.4088297863,2979270.2023037006,6636.58,2400000.0,165293.2779078014,164696.08250346076,846
25,PATERNAL,716985.65,33524550.0,3077494.126286353,2867235.405509652,44000.0,1900000.0,179762.6919686801,161970.10128165077,447
26,PUERTO MADERO,837813.25,79400250.0,16084331.719027054,11245120.718237523,48500.0,4600000.0,952810.312210708,665845.5366967627,1737
27,RECOLETA,79842.5,87826750.0,5835519.268630327,5539512.395571955,5000.0,5500000.0,343022.89344433276,325336.30426884355,7958
28,RETIRO,95811.0,299293500.0,7662726.937241977,10490821.049782082,6000.0,17000000.0,447929.8893061578,603428.0354985985,2306
29,SAAVEDRA,172001.66,56537250.0,3213296.702880203,2701515.358782768,10771.31,3300000.0,188520.90333899745,156269.88588142494,2354
30,SAN CRISTOBAL,47577.08,46495000.0,2313495.1023894274,2755633.619653541,2754.18,2500000.0,137171.22205897295,160445.18891758594,1967
31,SAN NICOLAS,146331.94,308385000.0,3908939.212479778,8900961.705392981,8470.98,18500000.0,230608.63611729012,532131.534066411,3956
32,SAN TELMO,126107.82,743260938.5,3351095.1871413905,17317206.840494692,7300.23,46545445.0,198452.91201028274,1080190.479544969,1945
33,VELEZ SARSFIELD,181054.36,27688800.0,2811514.8150476194,2087190.4653772002,11338.22,1600000.0,166114.4438095238,123474.6979570999,735
34,VERSALLES,926173.0,74392000.0,3976642.775201613,5073371.788939215,58000.0,4000000.0,226431.85483870967,274993.08830730367,248
35,VILLA CRESPO,84172.03,38003900.0,3099613.0887248665,3000547.7328603263,5271.13,2200000.0,182185.58950111698,175398.99074467644,5372
36,VILLA DEL PARQUE,84492.04,22456850.0,3166233.3951340048,2278151.232758509,5291.17,1300000.0,184397.41676716917,130518.43824697124,1194
37,VILLA DEVOTO,439976.08,35966250.0,4250696.246100884,3806648.1600015676,27552.75,2070000.0,246211.61265848673,216978.23804384042,1467
38,VILLA GRAL. MITRE,82499.97,49575892.8,2860382.4427743265,2913671.597929919,5166.42,2809708.0,168969.323726708,168459.36868226263,966
39,VILLA LUGANO,116769.0,14134312.5,2236356.5412698407,1414371.2822697298,6617.87,825000.0,131600.68424603174,83875.3185082629,504
40,VILLA LURO,215446.35,63075575.0,2744532.4954066994,2807411.4571052473,12471.93,3950000.0,161113.40760765548,168654.76960027823,1045
41,VILLA ORTUZAR,798425.0,114435750.0,4264157.18774359,7615147.571964959,46817.0,6500000.0,247656.6810051282,438215.98432222987,975
42,VILLA PUEYRREDON,108852.44,28743300.0,3039053.197343551,2443792.0771694994,6169.2,1800000.0,177782.96545338442,145336.16948348412,783
43,VILLA REAL,878267.5,11584650.0,3109733.188601036,1675639.7096223212,50000.0,590000.0,181680.31088082903,94270.68366050773,193
44,VILLA RIACHUELO,638740.0,6515625.0,2573494.475609756,1296427.4583377363,40000.0,375000.0,150902.43902439025,75965.65334284223,82
45,VILLA SANTA RITA,102712.76,38324400.0,2654558.7522875825,2667291.0939462464,5995.2,2400000.0,156896.4265751634,160933.56647469776,765
46,VILLA SOLDATI,471562.1,146497500.0,4326093.370759494,17735681.371912017,29530.77,8500000.0,247079.2006329114,1010143.0697559323,79
47,VILLA URQUIZA,342390.64,127605665.0,3312256.395375775,3747268.6816139035,19404.95,7403868.0,194186.88227993567,217301.83009827088,4351
